feature,stability_score
app_temp,0.8547770388611058
azimuth,0.08994342798518361
clouds,0.11867798046205155
dewpt,0.7801539495783577
dhi,0.3917903957807046
dni,0.3781920377318189
elev_angle,0.46006637028607317
ghi,0.42466085270191384
precip,0.03782038335322789
pres,0.08749793494012403
rh,0.39961723277937367
slp,0.15361684777489568
snow,0.07486328737909277
solar_rad,0.3801650692535022
temp,0.8440334479903987
uv,0.4106832588862795
vis,0.07516021794147568
wind_dir,0.03340760727767717
wind_gust_spd,0.03523457932998029
wind_spd,0.09534731346988443
month,0.21565181719171606
year,0.0098365848755223
hour,0.08103402238461674
day_of_week,0.008802464555893428
season,0.4915497797014305
B1_B2_expected_supply_temp,0.7789878094197908
B1_B2_expected_return_temp,0.0
B1_B2_expected_delta_T,0.7789878094143159
F1_Nord_expected_supply_temp,0.7789878094542984
F1_Nord_expected_return_temp,0.0
F1_Nord_expected_delta_T,0.778987809458163
F1_Sud_expected_supply_temp,0.7789878094197908
F1_Sud_expected_return_temp,0.0
F1_Sud_expected_delta_T,0.7789878094143159
Maintal_expected_supply_temp,0.0
Maintal_expected_return_temp,0.0
Maintal_expected_delta_T,0.0
N1_expected_supply_temp,0.778987809487304
N1_expected_return_temp,0.0
N1_expected_delta_T,0.7789878094873037
N2_expected_supply_temp,0.7789878094929557
N2_expected_return_temp,0.0
N2_expected_delta_T,0.7789878094929549
V1_expected_supply_temp,0.7789878094542984
V1_expected_return_temp,0.0
V1_expected_delta_T,0.778987809458163
V2_expected_supply_temp,0.7789878093060194
V2_expected_return_temp,0.0
V2_expected_delta_T,0.7789878093060196
V6_expected_supply_temp,0.7789878094929551
V6_expected_return_temp,0.0
V6_expected_delta_T,0.7789878094929551
W1_expected_supply_temp,0.7789878094542984
W1_expected_return_temp,0.0
W1_expected_delta_T,0.778987809458163
ZN_expected_supply_temp,0.7789878094197908
ZN_expected_return_temp,0.0
ZN_expected_delta_T,0.7789878094143159
hdd_18,0.8755423270568312
hdd_15_5,0.876840674165253
temp_change,0.08074973976736567
is_daytime,0.1434966857221044
is_weekend,0.009377694652027597
