feature,mutual_info
temp,3.8703613197182576
hdd_15_5,3.51869116152662
app_temp,3.3213268471394457
F1_Sud_expected_delta_T,2.220742701891387
B1_B2_expected_supply_temp,2.2166145054358477
V1_expected_delta_T,2.2161071171539684
W1_expected_supply_temp,2.212528541074569
F1_Nord_expected_delta_T,2.2122085435961716
V2_expected_delta_T,2.21040209901222
N2_expected_supply_temp,2.2101493733767184
N2_expected_delta_T,2.208665418523717
V2_expected_supply_temp,2.2084414948075928
V6_expected_delta_T,2.206357172330119
ZN_expected_delta_T,2.2060306954259654
B1_B2_expected_delta_T,2.2057225641019063
F1_Sud_expected_supply_temp,2.203315907620449
N1_expected_supply_temp,2.2032551023345563
ZN_expected_supply_temp,2.202896396203105
F1_Nord_expected_supply_temp,2.202576145231383
W1_expected_delta_T,2.201863487204809
V1_expected_supply_temp,2.2008948579226635
V6_expected_supply_temp,2.200872031363933
N1_expected_delta_T,2.193927638605332
dewpt,1.69915975884072
ts,0.9289411815253876
rh,0.6675986449032028
month,0.5261527580339038
season,0.3912522212041196
elev_angle,0.2472566545897461
azimuth,0.20131893284225377
uv,0.18358811011896758
ghi,0.17320205651346754
dni,0.15769253153141882
dhi,0.15544326588232327
slp,0.15367973880312302
pres,0.1508133070776525
solar_rad,0.13820149784683
hour,0.06461986071452586
wind_dir,0.05088620422173662
wind_gust_spd,0.04467327768599816
wind_spd,0.029406446579748113
clouds,0.029206175617408014
is_daytime,0.026084671467105913
year,0.022105476708638605
precip,0.01417388230919947
snow,0.014117562330535627
F1_Sud_expected_return_temp,0.01123207378450175
day_of_week,0.009194528713509342
B1_B2_expected_return_temp,0.004898610129146164
Maintal_expected_supply_temp,0.003934161990630791
V2_expected_return_temp,0.0031776045671358943
Maintal_expected_return_temp,0.0
F1_Nord_expected_return_temp,0.0
V1_expected_return_temp,0.0
N2_expected_return_temp,0.0
N1_expected_return_temp,0.0
Maintal_expected_delta_T,0.0
V6_expected_return_temp,0.0
W1_expected_return_temp,0.0
ZN_expected_return_temp,0.0
is_weekend,0.0
