methodology,horizon,split,rmse,mae,r2,mape,features_used,model_type,regularization
All Features MLR,1h,train,10.299092355772357,7.535861694138985,0.960432845853918,72.61531790145351,104,Ridge,0.01
All Features MLR,1h,validation,10.663427165988029,8.033565181660267,0.9562359506123627,85.97617751661127,104,Ridge,0.01
All Features MLR,6h,train,17.16257465005815,12.698872099306655,0.8901415486480784,117.99915554284857,104,Ridge,0.1
All Features MLR,6h,validation,17.08707748507512,12.976602060867355,0.8878219836333435,135.243029514259,104,Ridge,0.1
All Features MLR,24h,train,20.139896058358534,14.534963470350014,0.8487634749016908,115.47236252669859,104,Ensemble,Ensemble
All Features MLR,24h,validation,20.504860118990845,14.899798093140825,0.8389142741021834,126.9785234745835,104,Ensemble,Ensemble
All Features MLR,48h,train,23.230054539611242,15.931170424728268,0.7988373855683307,106.43834974437434,104,Ensemble,Ensemble
All Features MLR,48h,validation,23.71824908283994,16.515819531593543,0.7861651650954821,113.99190270888707,104,Ensemble,Ensemble
All Features MLR,72h,train,24.84016363112886,17.163797659195644,0.7698994240938382,125.71194917330331,104,Advanced72hEnsemble,Advanced72hEnsemble
All Features MLR,72h,validation,26.657561513351926,18.483382700439062,0.7327789291736104,132.9671840906031,104,Advanced72hEnsemble,Advanced72hEnsemble
