horizon,kernel,features_used,val_r2,val_rmse,params
1,rbf,150,0.9849751223571789,6.2480360862383195,"{'C': 100, 'epsilon': 0.1, 'gamma': 'scale'}"
1,linear,150,0.9742256732050113,8.183361236131697,"{'C': 10, 'epsilon': 0.01}"
6,rbf,150,0.9483655562358784,11.592675042845691,"{'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}"
6,linear,150,0.9283298117321314,13.657876565386603,"{'C': 100, 'epsilon': 0.1}"
24,rbf,154,0.8745898574136092,18.09233466290813,"{'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}"
24,linear,154,0.8413711114931652,20.34789192612654,"{'C': 10, 'epsilon': 0.1}"
48,rbf,154,0.7948000768253837,23.234428507141352,"{'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}"
48,linear,154,0.7845781739707275,23.806099761011275,"{'C': 100, 'epsilon': 0.01}"
72,rbf,154,0.7470042584124638,25.938309955184437,"{'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}"
72,linear,154,0.7411412531336421,26.237139974182316,"{'C': 1, 'epsilon': 0.01}"
