#{"t_start": 1757804866.1245933, "env_id": "None"}
r,l,t
-4908362.954102,24,1.921134
-177742.21059,24,2.017125
-68673.743713,24,2.112685
-141601.615479,24,2.213766
-6875855.312348,24,2.320873
-6654728.734375,24,2.415978
-3196633.060457,24,2.512771
-65686.971893,24,2.610068
-2805681.143799,24,2.711542
-537252.193764,24,2.809779
-308749.844473,24,2.914253
-4686677.093392,24,3.021207
-135563.582153,24,3.132285
-355463.453003,24,3.231083
-116621.720215,24,3.327638
-4258133.765625,24,3.423652
-2716097.935699,24,3.525216
-3197854.502197,24,3.620933
-4344444.80957,24,3.719487
-5868147.461914,24,3.814695
-48182.305389,24,3.913677
-5567626.574219,24,4.008562
-42946.155212,24,4.119912
-7175155.765625,24,4.214482
-2980604.897949,24,4.318979
-123407.548218,24,4.414313
-3769122.722656,24,4.515763
-7421678.992188,24,4.609073
-2554644.476929,24,4.713957
-31716.537415,24,4.811363
-176552.602783,24,4.90602
-163376.359497,24,5.003697
-1649992.983276,24,5.103989
-56047.696838,24,5.200195
-65839.147914,24,5.293752
-96866.15493,24,5.387633
-7554886.179688,24,5.489582
-3133182.799292,24,5.584187
-130886.129883,24,5.680988
-56405.385596,24,5.781631
-186613.96936,24,5.88061
-6731360.414062,24,5.980656
-180606.195171,24,6.079907
-79591.283901,24,6.172821
-52566.767792,24,6.27152
-163046.129499,24,6.367778
-418295.033734,24,6.462414
-6989727.90277,24,6.555596
-6332480.359375,24,6.656366
-87517.452759,24,6.753344
-6172322.012791,24,6.847834
-56350.673157,24,6.943232
-60544.145802,24,7.042934
-104391.573242,24,7.145175
-6721198.712023,24,7.238914
-65855.140137,24,7.336773
-7394051.671875,24,7.436473
-6576136.796875,24,7.532355
-1950247.779257,24,7.62534
-4231195.412109,24,7.718143
-6914305.804688,24,7.817751
-77155.221191,24,7.912099
-141111.474121,24,8.00847
-1934018.998047,24,8.101468
-186945.758846,24,8.201375
-5634502.19627,24,8.296153
-123311.662354,24,8.40224
-6455112.726562,24,8.515785
-1131412.670283,24,8.636528
-4633941.296875,24,8.739876
-5116819.813741,24,8.839956
-6648704.005957,24,8.936117
-192648.929573,24,9.036337
-4400788.134766,24,9.137369
-124034.271484,24,9.238457
-179964.192993,24,9.341909
-79903.181274,24,9.442736
-413624.476562,24,9.540448
-6836118.632812,24,9.642627
-112897.728638,24,9.747069
-6257210.096604,24,9.856137
-2711862.827393,24,9.962532
-6678670.921875,24,10.072505
-5834295.246083,24,10.173345
-1114828.224036,24,10.274777
-219765.346924,24,10.373028
-4707686.146484,24,10.469589
-3221243.302734,24,10.568195
-48142.279663,24,10.665734
-3374636.163574,24,10.761942
-3555785.904053,24,10.855728
-69142.658906,24,10.949151
-34501.135925,24,11.052256
-19154.655152,24,11.147298
-3747053.566406,24,11.241637
-6920200.8125,24,11.342812
-57976.381104,24,11.442346
-157610.676025,24,11.538207
-6916946.901353,24,11.634587
-42953.461517,24,11.732317
-2293965.676758,24,11.835448
-52193.947449,24,11.93768
-4469877.365234,24,12.033411
-7139206.891641,24,12.129153
-45635.490051,24,12.235948
-7272872.239516,24,12.330369
-66704.851745,24,12.423702
-1779988.293828,24,12.518468
-54125.891642,24,12.618007
-46900.748962,24,12.719594
-67077.603699,24,12.816463
-39917.946289,24,12.910306
-3924270.312988,24,13.013516
-2087223.680908,24,13.107444
-6479000.109375,24,13.213626
-151941.935791,24,13.310756
-383022.7052,24,13.415158
-6089133.1875,24,13.51155
-1457613.280273,24,13.610276
-68122.314026,24,13.709631
-5922811.304688,24,13.836014
-6380600.542969,24,13.944564
-4277270.476562,24,14.052678
-43528.141235,24,14.149537
-5341558.457031,24,14.253465
-3939229.286377,24,14.3534
-58688.235168,24,14.448944
-2558601.063477,24,14.54653
-43571.749512,24,14.649207
-5815666.167969,24,14.747399
-243740.429688,24,14.847795
-5256038.277344,24,14.945781
-48512.209665,24,15.049298
-5748115.199219,24,15.149232
-32906.456146,24,15.245681
-96616.488098,24,15.339243
-898021.44924,24,15.453923
-6981798.745455,24,15.549784
-1766256.692383,24,15.647041
-3111316.532471,24,15.742716
-58769.566406,24,15.8716
-107888.43457,24,15.984249
-31642.310577,24,16.090699
-85999.813477,24,16.208483
-2356497.695801,24,16.322319
-107146.575928,24,16.443786
-78968.48877,24,16.549189
-2500663.675293,24,16.649887
-2049840.426494,24,16.750812
-69201.187317,24,16.86089
-7915678.490736,24,16.963404
-5090671.640625,24,17.06663
-4367687.349609,24,17.180808
-153763.27417,24,17.281409
-884913.926758,24,17.400263
-34566.982452,24,17.51396
-31303.281647,24,17.65069
-187435.927002,24,17.765024
-149103.700562,24,17.866855
-2634490.494141,24,17.966195
-1830406.240723,24,18.07041
-533149.921143,24,18.185102
-2703666.7771,24,18.297366
-61116.556854,24,18.416276
-924129.341959,24,18.548657
-457574.719971,24,18.655723
-2199590.718716,24,18.759897
-46924.405029,24,18.86044
-49562.46698,24,18.984395
-6553004.828125,24,19.08841
-4904349.285156,24,19.216764
-214711.048828,24,19.333966
-95868.65384,24,19.43815
-83586.08429,24,19.536078
-87933.338318,24,19.639616
-7312713.59375,24,19.740665
-8137556.84375,24,19.855061
-5179435.380859,24,19.961019
-355597.131348,24,20.066363
-7625139.90625,24,20.181921
-49537.844908,24,20.290975
-118598.607544,24,20.394358
-3980874.300293,24,20.499861
-71031.943115,24,20.605671
-114390.842708,24,20.719951
-2603160.35498,24,20.829912
-49803.761414,24,20.944697
-219405.203369,24,21.05003
-128711.074585,24,21.162347
-394917.79541,24,21.270533
-97982.114624,24,21.375388
-5542763.667969,24,21.478481
-972524.6875,24,21.583079
-6673102.402344,24,21.716413
-287907.495361,24,21.814394
-7296501.049119,24,21.915027
-140822.814597,24,22.024662
-5779853.453125,24,22.124999
-1508891.111572,24,22.230901
-342982.147339,24,22.33725
-6997889.882812,24,22.444307
-281280.039307,24,22.542755
-7552110.492188,24,22.641969
-6107841.554688,24,22.762033
-4848974.654297,24,22.865101
-3599288.665039,24,22.964337
-169337.72821,24,23.070069
-1746081.635742,24,23.194559
-73852.361544,24,24.323048
-6508983.423502,24,24.432395
-7057105.482735,24,24.542959
-92259.488037,24,24.651321
-1094855.219727,24,24.76418
-72491.449512,24,24.870273
-232441.130859,24,24.979452
-110371.117004,24,25.082379
-6406727.839844,24,25.19007
-1086210.297852,24,25.29818
-61419.179628,24,25.403614
-127683.751221,24,25.505368
-6966657.5625,24,25.61053
-2308212.843262,24,25.719038
-3314134.648438,24,25.819535
-4746504.922128,24,25.917016
-109390.991028,24,26.019928
-7107150.515625,24,26.11663
-4213898.15918,24,26.228933
-3569077.968994,24,26.347996
-571580.255249,24,26.470756
-61807.77283,24,26.591592
-58716.421631,24,26.698476
-182491.397705,24,26.800192
-5243664.767377,24,26.906566
-83918.217521,24,27.009609
-287940.739502,24,27.108454
-55015.877299,24,27.22516
-7511227.015625,24,27.34103
-2313270.808594,24,27.449063
-233322.03125,24,27.557693
-47029.141479,24,27.667574
-4954166.082031,24,27.779494
-7054543.851562,24,27.88072
-267829.150635,24,27.982245
-6006835.300781,24,28.087746
-40634.631638,24,28.194334
-5033894.566406,24,28.292369
-95456.790527,24,28.40615
-85965.314941,24,28.514117
-30885.043854,24,28.634674
-7497217.548774,24,28.748089
-45430.148804,24,28.857145
-6836648.34375,24,28.965909
-179330.61502,24,29.083901
-207150.695068,24,29.194775
-39788.052106,24,29.301958
-4209457.123291,24,29.408661
-95977.526123,24,29.523327
-56112.095398,24,29.631352
-29115.23938,24,29.741212
-69088.627625,24,29.853013
-419861.047302,24,29.965446
-7617700.679688,24,30.073813
-447972.258789,24,30.183902
-28767.252258,24,30.295418
-376527.231768,24,30.409683
-6604561.585938,24,30.516953
-1732599.220984,24,30.623815
-144432.756348,24,30.730881
-47451.775452,24,30.839629
-1307920.913844,24,30.939445
-2550169.726807,24,31.040993
-467811.504035,24,31.145695
-6773038.671875,24,31.262513
-29187.982605,24,31.374785
-127788.673706,24,31.47468
-3318904.302734,24,31.574291
-46106.154114,24,31.681236
-96314.771484,24,31.789118
-48970.151855,24,31.888845
-126795.376159,24,32.017679
-41586.238831,24,32.156464
-58358.201111,24,32.270322
-6780462.398438,24,32.387646
-1102024.626542,24,32.500165
-6990773.484375,24,32.619103
-4673631.84668,24,32.751171
-356688.572052,24,32.881339
-713034.618652,24,33.005348
-169772.146667,24,33.140782
-132998.484674,24,33.259507
-95916.746094,24,33.372988
-57181.635864,24,33.488422
-7299061.742188,24,33.6232
-384143.618042,24,33.754678
-253834.697266,24,33.868567
-457650.904297,24,33.992168
-5844452.380859,24,34.118789
-834284.268555,24,34.243503
-208484.999023,24,34.374573
-33656.789062,24,34.507322
-484468.73291,24,34.630808
-17062.400945,24,34.754454
-163249.927848,24,34.872834
-3280872.694336,24,34.988626
-6583667.242188,24,35.126333
-521593.495117,24,35.249583
-315044.847168,24,35.369533
-138609.631653,24,35.491155
-209176.184082,24,35.612549
-105455.933838,24,35.724583
-5862373.476562,24,35.848399
-69730.960083,24,35.970989
-864859.41068,24,36.106401
-209386.395498,24,36.226907
-406398.267212,24,36.348464
-6759843.367188,24,36.467979
-30999.664368,24,36.601303
-114665.067505,24,36.736728
-65762.22937,24,36.852545
-6846782.59375,24,36.984781
-84633.790005,24,37.135949
-207721.315918,24,37.296288
-54564.724915,24,37.41879
-54682.986816,24,37.538647
-1271552.786133,24,37.66825
-5709967.498047,24,37.776541
-292269.576904,24,37.900434
-129050.595947,24,38.0157
-90889.676025,24,38.185252
-7194873.335938,24,38.318068
-6638249.048631,24,38.435437
-6679527.015625,24,38.575541
-4781589.759766,24,38.694868
-268260.605857,24,38.853654
-6953773.671875,24,38.99
-5904231.453125,24,39.114087
-247623.5625,24,39.233828
-5086135.539551,24,39.362579
-144863.7229,24,39.489663
-5743326.898438,24,39.606284
-46149.759888,24,39.724459
-6925941.851562,24,39.850136
-5865694.116774,24,39.975087
-4547426.821289,24,40.113698
-308055.356689,24,40.262844
-1998252.673828,24,40.38678
-47633.475037,24,40.520972
-7550138.25,24,40.634872
-46573.420585,24,40.755822
-61929.917603,24,40.873163
-7116690.28125,24,40.983355
-1127977.70874,24,41.125595
-3554804.842773,24,41.250797
-4846836.357422,24,41.363439
-77448.338939,24,41.477133
-4527888.025391,24,41.5952
-2409550.058105,24,41.725078
-5687386.710938,24,41.844527
-44233.862361,24,41.965369
-252855.758118,24,42.088037
-4902684.994141,24,42.212641
-62166.491455,24,42.322169
-1760149.95587,24,42.439574
-5645724.701172,24,42.560934
-1517036.45166,24,42.690238
-350857.822876,24,42.818244
-76705.888245,24,42.939648
-162439.054565,24,43.051325
-203683.776367,24,43.183584
-8105477.765625,24,43.295627
-5301307.798828,24,43.415439
-69884.643188,24,43.560727
-6604850.30354,24,43.692032
-7164881.726562,24,43.813859
-6828836.496879,24,43.930071
-7521587.53125,24,44.069896
-5046983.191406,24,44.215223
-39704.003174,24,44.347704
-3370341.833984,24,44.473665
-1922158.826563,24,44.583855
-73302.601318,24,44.722419
-6450384.492188,24,44.840128
-442168.299018,24,44.957894
-447506.590088,24,45.079553
-518265.856934,24,45.216231
-7234136.078125,24,45.333564
-1088544.003906,24,45.456789
-307616.190674,24,45.589677
-7601009.09375,24,45.718998
-322516.223074,24,45.86621
-3294065.582934,24,45.9941
-5371232.074219,24,46.104771
-2357988.222656,24,46.24256
-3807703.813477,24,46.359214
-186785.960999,24,46.481393
-343841.337891,24,46.610761
-2584724.251953,24,46.73174
-3259390.955078,24,46.861208
-49794.142944,24,46.980313
-2254148.026855,24,47.096189
-4201291.095703,24,47.222143
-4158472.853516,24,47.357747
-88396.834473,24,47.485114
-4558529.92105,24,47.616065
-165258.263306,24,47.742056
-7065587.367188,24,47.864429
-215250.517857,24,47.980889
-398439.816406,24,48.109814
-5125103.417969,24,48.235276
-83140.165405,24,48.351706
-80115.860718,24,48.484303
-54340.332184,24,48.601144
-907187.135132,24,48.727977
-70345.791025,24,48.866879
-3688777.128906,24,48.981697
-1295781.420898,24,49.117265
-1125695.635742,24,50.440911
-7812774.9375,24,50.897153
-6355414.796875,24,51.367435
-37418.882263,24,51.79814
-31023.295593,24,52.249493
-6590.016004,24,52.692813
1669.770748,24,53.127486
730.192636,24,53.595914
2627.740801,24,54.061934
-479.728894,24,54.526469
-459.373859,24,54.996711
-385.729127,24,55.46883
-753.933983,24,55.928548
-754.761211,24,56.392039
-650.176409,24,56.809839
-739.148535,24,57.256083
-674.543688,24,57.697385
-752.895069,24,58.118688
-778.612564,24,58.543888
-787.169039,24,58.996742
-786.764071,24,59.437453
-785.739788,24,59.887221
-783.144287,24,60.317619
-684.349932,24,60.813957
-684.661718,24,61.264821
-781.893406,24,61.697737
-781.104294,24,62.133368
-684.792866,24,62.570685
-769.193546,24,63.03091
-684.805401,24,63.494937
-786.534603,24,63.931587
-695.228405,24,64.378084
-786.346302,24,64.873293
-789.037445,24,65.34239
-700.85025,24,65.820615
-790.717678,24,66.325809
-748.541489,24,66.997082
-684.850224,24,67.555585
-838.62686,24,68.104566
-776.855663,24,68.613851
-776.153114,24,69.165646
-857.262574,24,69.740533
-752.854362,24,70.218418
-776.855663,24,70.722341
-788.067795,24,71.269518
-845.018997,24,71.78977
-881.807137,24,72.249047
-830.664843,24,72.856696
-785.738564,24,73.33617
-860.250039,24,73.776098
-806.152721,24,74.232367
-807.753829,24,74.743546
-843.516137,24,75.375989
-776.855663,24,75.859541
-776.855663,24,76.361532
-831.272773,24,76.834555
-786.333179,24,77.30524
-799.512417,24,77.753524
-867.917156,24,78.237329
-834.181581,24,78.693844
-789.189243,24,79.162874
-839.285788,24,79.647203
-813.205706,24,80.130909
-863.038084,24,80.598171
-776.855663,24,81.076372
-871.973651,24,81.548277
-776.855663,24,82.029134
-880.394532,24,82.498492
-874.685463,24,82.983035
-802.054241,24,83.45963
-776.855663,24,83.92785
-870.063673,24,84.434926
-808.911057,24,84.972182
-849.059133,24,85.430844
-879.573636,24,85.874766
